Country,Year,Annual CO₂ emissions,Forest_land_share_land_area_%,Naturally_regenerating_forest_share_forest_land_%,Log Forest,Log Naturally,Cluster
Dominica,2020,157552.0,63.83,98.31,4.171768459186905,4.598246270915268,0
Dominican Republic,2020,27015426.0,44.49,91.14,3.817492521581913,4.523309159507771,0
East Timor,2020,646494.0,61.94,100.0,4.142181891636261,4.61512051684126,0
Ecuador,2020,32909420.0,50.32,99.11,3.938080539747436,4.606269581431392,0
Egypt,2020,235357630.0,0.05,0.0,0.04879016416943204,0.0,1
El Salvador,2020,6594499.0,28.18,96.98,3.3734835430946397,4.584763376210429,0
Equatorial Guinea,2020,6411490.0,87.29,94.9,4.480626850913491,4.563305981889393,0
Eritrea,2020,640911.0,8.72,95.89,2.2741856184723477,4.573576314396913,0
Estonia,2020,9198251.0,57.04,91.15,4.061132428015987,4.523417684115833,0
Eswatini,2020,1121184.0,28.93,79.51,3.3988613218646075,4.388381400311889,0
Ethiopia,2020,15849882.0,15.12,92.95,2.780060737078482,4.5427627258594745,0
Federated States of Micronesia,2020,146560.0,92.03,77.94,4.532922021780467,4.368688070234701,0
Fiji,2020,1003936.06,62.4,81.85,4.14946386144318,4.417031743872572,0
Finland,2020,37700000.0,73.73,67.12,4.313881617942199,4.221270855794487,0
France,2020,280490020.0,31.51,85.89,3.4815477343158143,4.464642950851115,0
Gabon,2020,5624687.0,91.32,99.87,4.52526080275979,4.613832559066744,0
Georgia,2020,10574905.0,40.62,97.45,3.7285808209654885,4.589548805085134,0
Germany,2020,648356860.0,32.68,50.0,3.516904189374126,3.9318256327243257,0
Ghana,2020,19167768.0,35.1,96.28,3.586292865338835,4.577593418217857,0
Greece,2020,55558176.0,30.27,96.44,3.44265917146975,4.579236803961587,0
Grenada,2020,289456.0,52.06,98.81,3.971423348709594,4.603268378698495,0
Guatemala,2020,17164690.0,32.92,95.69,3.5240048109237025,4.5715099844954565,0
Guinea,2020,4499392.0,25.19,99.08,3.2653776585196206,4.605969866158656,0
Guinea-Bissau,2020,296784.0,70.41,99.95,4.268437915561019,4.614625344758847,0
Guyana,2020,3360588.0,93.55,100.0,4.549128795104466,4.61512051684126,0
Haiti,2020,3238033.0,12.6,90.79,2.6100697927420065,4.519503359231,0
Honduras,2020,9526111.0,56.83,100.0,4.057507672170127,4.61512051684126,0
Hungary,2020,47107424.0,22.5,61.58,3.1570004211501135,4.136445738240736,0
Iceland,2020,3340566.0,0.51,22.96,0.412109650826833,3.1763857732472487,1
India,2020,2421552000.0,24.27,81.61,3.2296179214001026,4.414130738574414,0
Indonesia,2020,608223200.0,49.07,95.09,3.9134220263418533,4.5652852522891765,0
Iran,2020,756606400.0,6.63,90.69,2.0320878452963655,4.518413322061809,1
Iraq,2020,161115330.0,1.9,89.12,1.0647107369924282,4.501142115564043,1
Israel,2020,59156320.0,6.47,39.29,2.010894999144726,3.696103299203256,1
Italy,2020,302602430.0,32.35,93.26,3.507057772361633,4.546056921495585,0
Ivory Coast,2020,11015523.0,8.92,99.51,2.2945529212967815,4.610257225036649,0
Jamaica,2020,6902286.0,55.11,98.6,4.0273140497628805,4.601162164590552,0
Japan,2020,1040483400.0,68.41,59.16,4.2400309493514925,4.097007679641584,0
Jordan,2020,20960476.0,1.1,51.9,0.7419373447293773,3.9684033388642534,1
Kazakhstan,2020,255486480.0,1.28,87.82,0.8241754429663495,4.486611849863956,1
Kenya,2020,21981834.0,6.34,95.77,1.9933388426264242,4.572337028892851,1
Kuwait,2020,95654810.0,0.35,0.0,0.30010459245033816,0.0,1
Kyrgyzstan,2020,8348492.5,6.86,82.61,2.061786606441115,4.426163130161966,1
Laos,2020,19491688.0,71.9,89.33,4.289088639014612,4.503469631161752,0
Latvia,2020,6997988.0,54.81,86.35,4.021953064800342,4.469923036580066,0
Lebanon,2020,23814864.0,14.01,99.76,2.7087166456453704,4.61274145148441,0
Lesotho,2020,2172752.0,1.14,74.88,0.7608058290337599,4.3291531450668135,1
Liberia,2020,779626.0,79.08,99.65,4.383026135006965,4.611649152085801,0
Libya,2020,34237410.0,0.12,0.0,0.11332868530700327,0.0,1
Liechtenstein,2020,141929.0,41.88,91.04,3.7584055167625467,4.522223265167165,0
Lithuania,2020,13562745.0,35.15,72.24,3.5876769486047735,4.2937417198063095,0
