Year,Cluster,Annual CO₂ emissions,Fossil Share Consumption,Non-CO₂ Share Consumption,Nuclear Share Consumption,Renewable Share Consumption,Fossil Electricity Share,Non-CO₂ Electricity Share,Nuclear Electricity Share,Renewable Electricity Share,Coal Production Share,Gas Production Share,Oil Production Share
1998,0,9300932070.0,0.9353993375198607,0.06206518148295033,0.012916634136538773,0.04914854734641153,0.8212064517800508,0.16699418163260002,0.030163697682131074,0.13683048395046896,0.22874776400776126,0.0732858454941572,0.6979663904980815
1998,1,10016798040.0,0.8548500481788889,0.14295933602296917,0.10624897117142394,0.03671036485154519,0.3881719068634133,0.37711994398547194,0.2791915197195341,0.09792842426593781,0.6034767991687343,0.06053939777855543,0.3359838030527102
1998,2,580854798.0,0.9854981128980834,0.014450820970176944,0.0,0.014450820970176944,0.0,0.04939017393879495,0.0,0.04939017393879495,0.0003157108242845909,0.21598927005473528,0.78369501912098
1998,3,1427113062.0,0.7234863296360329,0.265114184731843,0.005923110889576164,0.2591910738422668,0.029658026858215055,0.5890675689129985,0.012944998595682317,0.5761225703173162,0.19492418943969617,0.09039004105825364,0.7146857695020502
1999,0,9734809920.0,0.9357127522997797,0.06162978400117121,0.012442961552145314,0.04918682244902588,0.8267861668180212,0.1609626807265697,0.028843203136456375,0.13211947759011328,0.2283968576356564,0.07462860911743262,0.6969745332469108
1999,1,10075812020.0,0.8523383120518556,0.1452348525520401,0.10943583155898774,0.03579902099305228,0.3923793542821834,0.37384106347045576,0.28108819525333406,0.0927528682171217,0.6028599489132858,0.061470561239587766,0.3356694898471264
1999,2,581352104.0,0.9879581930141635,0.01199586054993071,0.0,0.01199586054993071,0.0,0.03813909784143357,0.0,0.03813909784143357,0.00031773853836263634,0.22102099815497558,0.7786612633066617
1999,3,1451203104.0,0.7165637276812327,0.2714293230058023,0.005799968719801327,0.265629354286001,0.0313029027499055,0.6024229116727127,0.012673815216116407,0.5897490964565962,0.19362736328147448,0.09133210992825275,0.7150405267902726
2000,0,10053307708.0,0.9357922973275388,0.06118825648812386,0.01209436538428597,0.04909389110383787,0.8316574345231539,0.1557236676759512,0.0272574754769618,0.12846619219898942,0.2263629126564705,0.07383595144350368,0.6998011359000258
2000,1,10317429592.0,0.8508842021567721,0.1467318451223752,0.11255205194588423,0.034179793176490954,0.3946508183187678,0.36789915957949676,0.28228096859699625,0.0856181909825004,0.6037143795102201,0.0610949430055449,0.3351906774842349
2000,2,590787610.0,0.9899350755960657,0.010014721799505757,0.0,0.010014721799505757,0.0,0.03416260893129382,0.0,0.03416260893129382,0.0002843527486991909,0.2303061079802515,0.7694095392710494
2000,3,1491035190.0,0.711539880925068,0.2764794617507525,0.006278782550226764,0.27020067920052576,0.03252784942329842,0.6024327913130167,0.013808590971348893,0.5886242003416678,0.19370674168993754,0.09167471661115417,0.7146185416989081
2001,0,10187901476.0,0.9337853565980355,0.06299867188772904,0.012207041898903806,0.050791629988825214,0.8282729382056104,0.15856296762317465,0.027651585466059985,0.13091138215711468,0.22796511213215637,0.07402659608430873,0.6980082917835349
2001,1,10323023862.0,0.8496510334761783,0.14774691211653776,0.11342659645646518,0.03432031566007257,0.3925369556827432,0.3667182190161572,0.28058667682475574,0.08613154219140139,0.6027421815267843,0.062271535361035496,0.3349862831121802
2001,2,619959200.0,0.9899697958746052,0.009963927332715124,0.0,0.009963927332715124,0.0,0.03375693935888761,0.0,0.03375693935888761,0.00031844860557191817,0.2323047031184133,0.7673768482760146
2001,3,1485257656.0,0.7228301889621761,0.26499594366356405,0.008136477590507153,0.25685946607305693,0.03622792196065025,0.5782950606228954,0.01841525302632458,0.5598798075965707,0.19416056036393015,0.0923391440891923,0.7135002955468774
2002,0,10659623460.0,0.9346549871460861,0.06189236759216647,0.012106326193328623,0.04978604139883785,0.8326751687655541,0.15357160026266528,0.02706720651133529,0.12650439375132996,0.2286347520733313,0.07311794421421332,0.6982473037124552
2002,1,10344463190.0,0.8475474861340385,0.14939155306286717,0.1164589539917273,0.03293259907113981,0.40075753628631094,0.3678035374972207,0.28519710679275057,0.0826064307044701,0.6010408103304788,0.06354790881340507,0.33541128085611605
2002,2,630413322.0,0.9880473308757054,0.011851557112029674,0.0,0.011851557112029674,0.0,0.036877578372104966,0.0,0.036877578372104966,0.0003190739362839182,0.23277514569010646,0.7669057803736096
2002,3,1532354024.0,0.7132925648188299,0.27393907236385356,0.007608687086284136,0.2663303852775694,0.03393986709714639,0.5876018916672678,0.017321463391103673,0.5702804282761641,0.1936838627224683,0.09254338592250436,0.7137727513550274
2003,0,11727293280.0,0.939874601818134,0.056416615855052824,0.010477423447717155,0.04593919240733564,0.8443697016530779,0.13931364385429812,0.024278850250905627,0.11503479360339246,0.23162873346209528,0.07328905774601516,0.6950822087918895
2003,1,10485680490.0,0.8507230753705491,0.14563813184034638,0.11175662573117612,0.033881506109170206,0.3971525959711443,0.3595466664085348,0.27651640148097106,0.08303026492756367,0.5993445399963877,0.06577942406045631,0.3348760359431559
