Country,Year,Annual CO₂ emissions,Fossil Share Consumption,Non-CO₂ Share Consumption,Nuclear Share Consumption,Renewable Share Consumption,Fossil Electricity Share,Non-CO₂ Electricity Share,Nuclear Electricity Share,Renewable Electricity Share,Coal Production Share,Gas Production Share,Oil Production Share,Log Fossil,Log Non-CO₂,Log Nuclear,Log Renewable,Cluster
Kuwait,2020,95654810.0,0.9995810848431972,0.0004189151339442,0.0,0.0004189151339442,0.0,0.000848248184194,0.0,0.000848248184194,0.0,0.0033471696174446,0.9966528303825554,0.0,0.0008478886250189625,0.0,0.0008478886250189625,2
Malaysia,2020,263199410.0,0.9245797758786464,0.0644439295869199,0.0,0.0644439295869199,0.8241879497023058,0.1687202593043838,0.0,0.1687202593043838,0.0,0.0858794925164662,0.9141205074835338,0.601134928943564,0.15590935471250536,0.0,0.15590935471250536,0
Mexico,2020,428940300.0,0.8951802944400788,0.0939969428109935,0.0137960369721583,0.0802009058388352,0.7527275985943357,0.225752025317751,0.0343169161259952,0.1914351091917558,0.00199214141165,0.0132496228726434,0.9847582357157064,0.5611732023040165,0.2035545538568358,0.03374122441241464,0.1751585546314967,0
Netherlands,2020,136670080.0,0.8883828372962413,0.073772006610145,0.010403394160764,0.063368612449381,0.6812030406366482,0.2269515931171246,0.0331556213579813,0.1937959717591433,0.0,1.0,0.0,0.5195096327580909,0.2045327135382606,0.032617828701864165,0.177138122445449,0
New Zealand,2020,34022760.0,0.6090760313178026,0.2934447714742512,0.0,0.2934447714742512,0.0,0.6003377909833437,0.0,0.6003377909833437,1.0,0.0,0.0,0.0,0.4702147263277685,0.0,0.4702147263277685,3
Norway,2020,41231000.0,0.279230971483867,0.7113828274282232,0.0,0.7113828274282232,0.0,0.9727601324353232,0.0,0.9727601324353232,0.0,0.0415813317465234,0.9584186682534764,0.0,0.6794336446041814,0.0,0.6794336446041814,3
Oman,2020,68625420.0,0.9988346272958176,0.00116537265933,0.0,0.00116537265933,0.0,0.004174155837378,0.0,0.004174155837378,0.0,0.0280244365899698,0.9719755634100302,0.0,0.004165468216166441,0.0,0.004165468216166441,2
Pakistan,2020,230754130.0,0.8565827895082891,0.1413452552159324,0.0246281693763186,0.1167170858396138,0.0,0.3929311205629926,0.070827898486669,0.3221032220763236,0.1394822793580369,0.8605177206419631,0.0,0.0,0.3314102467431112,0.06843208619716044,0.27922381862066786,3
Peru,2020,46924612.0,0.6761925893075986,0.3027139756539396,0.0,0.3027139756539396,0.0,0.6283734276650949,0.0,0.6283734276650949,0.0,0.0800153431727208,0.9199846568272791,0.0,0.4875816194498603,0.0,0.4875816194498603,3
Poland,2020,302432700.0,0.9203805579385946,0.0458210571365993,0.0,0.0458210571365993,0.8124866361309184,0.1257653586253607,0.0,0.1257653586253607,0.9225164307321866,0.0774835692678133,0.0,0.5946997345503624,0.1184631231225665,0.0,0.1184631231225665,0
Qatar,2020,102501230.0,0.9991184205224894,4.294175771801432e-05,0.0,4.294175771801432e-05,0.0,0.0001697963823869,0.0,0.0001697963823869,0.0,0.0802729964967966,0.9197270035032034,0.0,0.0001697819686128563,0.0,0.0001697819686128563,2
Romania,2020,73710180.0,0.7324496458915574,0.2492144117360947,0.0782063395598944,0.1710080721762003,0.0,0.636510028965847,0.2054399259685239,0.4310701029973229,0.0280079854960124,0.0798626335136214,0.8921293809903661,0.0,0.4925659432420904,0.1868445841070528,0.3584224881915379,1
