Country,Year,Electricity Generation Twh,Nuclear_TWh,Hydro_TWh,Solar_TWh,Wind_TWh,Oil_Production,Gas_Production,Coal_Production,Oil_Electricity,Gas_Electricity,Coal_Electricity
Total CIS,2012,1330.4083942,179.84490000000002,213.0366011024188,0.0063377589041095,0.018116,666.4818454828446,27.48710197996116,9.306251844391229,30.885633385259872,661.6871077252114,239.89317859272404
Total CIS,2013,1323.6747200999998,174.86780000000002,229.4372169,0.0188439,0.0211217,674.9095658280379,27.9942973966754,9.505021987482904,9.931661390807127,668.4608240589536,235.640899049512
Total CIS,2014,1337.9354429000002,183.2222,221.1443931640004,0.17737725,0.1256712,677.8636388790691,27.448018214710373,9.600254465825856,13.03050845048687,686.0880194721522,228.14737004686853
Total CIS,2015,1340.8869157,198.257911,215.425808479828,0.41103975,0.3290593,683.4188843644658,27.00661911814064,9.565295900218189,14.417270095712224,681.0104014778557,225.3343869680283
Total CIS,2016,1369.3216080000002,198.994884,235.8683039,0.6403928739726028,0.5239033,695.198219447579,27.18524759221464,9.99542098119855,17.400389312106604,675.8961292098425,234.64042634306867
Total CIS,2017,1383.0464558,205.7606,240.3490917,0.7862392500000001,0.6069637,701.1298988418908,28.8821639435389,10.677634568884969,10.04231405244936,675.3018016205341,244.7191781988502
Total CIS,2018,1416.3569978000005,206.65715,244.31325,0.95261435,0.8290751,714.327242435537,30.497578332213152,11.36747857183218,9.83401008727696,695.232770509625,253.16404171780653
Total CIS,2019,1426.351691,211.18347000000003,248.45113589146345,1.6847016499999998,1.3551434000000002,718.4817382305367,30.86637246271789,11.278736844658852,10.566703231472804,683.8775625994637,263.5090062761183
Total CIS,2020,1399.9782147000003,219.00858,262.70331581168483,3.3986995383561647,2.5006814000000004,659.062733619966,29.100867896544514,10.433349387720227,11.066074612889151,642.6602134104875,251.71196357265325
Total CIS,2021,1491.2077852,230.17045,264.77828980000004,4.407334250000001,4.6706047,673.2161835297387,32.081499083788,11.33833833411336,16.01912895153944,699.9602841638247,263.7833896100737
Total CIS,2022,1505.8016154871589,231.23089,248.2080934,5.19322265,6.9117011984282914,679.2212797677125,29.072676161131312,11.503337144851685,11.6976098407981,722.9776896958438,272.13625957752663
Total CIS,2023,1524.8361656725633,231.826338,253.0018483652225,5.97481358262692,8.801470975746629,675.239894073198,27.84790924290428,11.344919126480818,11.370355359252963,722.3006638404496,284.11061242689925
Total Europe,1990,3211.608583224264,894.5455789473685,502.3197443141413,0.012555,0.779460414888889,223.1435801982645,8.755061908392236,20.59271584416274,282.317177333865,253.88932810000003,1218.468435000001
Total Europe,1991,3229.3492316295265,917.930684210526,512.5620947014141,0.01562,0.979427987838384,234.2771380888804,9.049893353076186,18.69010798435193,279.10687286336537,252.4836826910229,1209.1398248866751
Total Europe,1992,3190.2684582912725,924.3542631578948,529.4956689268687,0.025182,1.5346480797575757,249.38953165922268,8.923754887247924,17.697855907143094,271.42635999309334,243.7722983219641,1158.9684199319945
Total Europe,1993,3174.603668860602,960.8284210526316,550.3138273044445,0.032363,2.2914260921212124,261.01265836120353,9.282676027010892,16.08169045840623,242.1097485428037,265.7841673863317,1093.739482757991
