Country,Year,Electricity Generation Twh
US,1995,3567.331196667886
Total North America,1995,4275.556188448768
Argentina,1995,67.16925399999998
Brazil,1995,275.6014426953099
Chile,1995,28.027
Colombia,1995,47.483470608604755
Ecuador,1995,8.428596800000001
Peru,1995,16.8801
Trinidad & Tobago,1995,4.307
Venezuela,1995,73.446
Central America,1995,19.818553889473684
Other Caribbean,1995,51.17115501085832
Other South America,1995,54.04128850000001
Total S. & Cent. America,1995,646.3738615042466
Austria,1995,56.4256937
Belgium,1995,74.408
Bulgaria,1995,41.789
Croatia,1995,9.2758
Cyprus,1995,2.497
Czech Republic,1995,60.847
Denmark,1995,36.663050000000005
Estonia,1995,8.693
Finland,1995,64.034837
France,1995,494.274
Germany,1995,536.8209999999999
Greece,1995,41.552
Hungary,1995,34.018
Iceland,1995,4.975857
Ireland,1995,17.84221102
Italy,1995,241.489
Latvia,1995,3.979
Lithuania,1995,13.84
Luxembourg,1995,1.23
Netherlands,1995,81.063
North Macedonia,1995,6.132000000000001
Norway,1995,123.011
Poland,1995,139.006
Portugal,1995,33.264
Romania,1995,59.266
Slovakia,1995,26.774
Slovenia,1995,12.913
Spain,1995,167.085
Sweden,1995,148.35
Switzerland,1995,62.86267091972355
Turkey,1995,86.2474
Ukraine,1995,194.018
United Kingdom,1995,337.42400000000004
Other Europe,1995,56.80415200751788
Total Europe,1995,3278.874671647242
Azerbaijan,1995,17.044
Belarus,1995,24.918
Kazakhstan,1995,66.739
Russian Federation,1995,860.027
Turkmenistan,1995,9.905
Uzbekistan,1995,47.453
Other CIS,1995,42.239000000000004
Total CIS,1995,1068.325
Iran,1995,84.35300000000001
Iraq,1995,26.497928
Israel,1995,30.437
Kuwait,1995,23.724
Oman,1995,6.5
Qatar,1995,6.013
Saudi Arabia,1995,109.92802536517088
United Arab Emirates,1995,24.982
Other Middle East,1995,41.943
Total Middle East,1995,354.37795336517087
Algeria,1995,19.715
Egypt,1995,50.652
Morocco,1995,12.092
South Africa,1995,186.655
Eastern Africa,1995,31.66577691822954
Middle Africa,1995,11.440000000000001
Western Africa,1995,28.66512060556629
Other Northern Africa,1995,19.170315789473683
Other Southern Africa,1995,2.6369999999999996
Total Africa,1995,362.69221331326946
Australia,1995,175.2245
Bangladesh,1995,10.806000000000001
China,1995,1007.0300000000001
China Hong Kong SAR,1995,27.915555555555557
India,1995,427.14877394605514
Indonesia,1995,54.12053
Japan,1995,1010.88
Malaysia,1995,46.574500092258106
New Zealand,1995,36.409750512684035
Pakistan,1995,63.75
Philippines,1995,33.554
Singapore,1995,22.0574
South Korea,1995,203.546465
Sri Lanka,1995,4.80042
Taiwan,1995,133.116701786
Thailand,1995,79.73721
Vietnam,1995,14.648
Other Asia Pacific,1995,44.2807424091616
Total Asia Pacific,1995,3395.600549301714
Canada,1996,571.6216013110633
Mexico,1996,156.59093131168345
US,1996,3663.3862391670423
Total North America,1996,4391.598771789789
Argentina,1996,69.75981999999998
Brazil,1996,291.2455399137768
Chile,1996,30.791
Colombia,1996,48.3711213733397
Ecuador,1996,9.6792006
Peru,1996,17.279799999999998
Trinidad & Tobago,1996,4.541
Venezuela,1996,75.58800000000001
Central America,1996,20.10994615243527
Other Caribbean,1996,53.99932264001129
Other South America,1996,57.386189896000005
Total S. & Cent. America,1996,678.7509405755632
Austria,1996,55.13042169999999
Belgium,1996,76.099
Bulgaria,1996,42.716
Croatia,1996,11.1727
Cyprus,1996,2.609
Czech Republic,1996,64.257
Denmark,1996,53.577580555555556
Estonia,1996,9.103
Finland,1996,69.37298200000001
France,1996,513.398
Germany,1996,552.669
Greece,1996,42.567
Hungary,1996,35.09
Iceland,1996,5.111637
Ireland,1996,19.1584479
Italy,1996,244.433
Latvia,1996,3.126
Lithuania,1996,16.789
Luxembourg,1996,1.256
Netherlands,1996,85.23400000000001
North Macedonia,1996,6.641
Norway,1996,104.712
Poland,1996,143.173
Portugal,1996,34.52
Romania,1996,61.35
Slovakia,1996,25.76
Slovenia,1996,12.737
Spain,1996,174.453
Sweden,1996,140.633
Switzerland,1996,57.32834821903243
Turkey,1996,94.8617
Ukraine,1996,182.986
United Kingdom,1996,350.867
Other Europe,1996,61.459584383456814
Total Europe,1996,3354.351401758044
Azerbaijan,1996,17.085
Belarus,1996,23.728
Kazakhstan,1996,58.747
Russian Federation,1996,847.183
Turkmenistan,1996,10.13
Uzbekistan,1996,45.419000000000004
Other CIS,1996,44.293000000000006
Total CIS,1996,1046.585
Iran,1996,89.74
Iraq,1996,25.981338
Israel,1996,32.5694
Kuwait,1996,25.475
Oman,1996,6.8020000000000005
Qatar,1996,6.615
Saudi Arabia,1996,112.16712229183555
United Arab Emirates,1996,26.572
Other Middle East,1996,46.099000000000004
Total Middle East,1996,372.02086029183556
Algeria,1996,20.654
Egypt,1996,53.57
Morocco,1996,12.538
South Africa,1996,200.092
Eastern Africa,1996,31.400579926867927
Middle Africa,1996,11.616000000000001
Western Africa,1996,30.09524124974043
Other Northern Africa,1996,20.099315789473685
Other Southern Africa,1996,2.075
Total Africa,1996,382.14013696608197
Australia,1996,180.127
Bangladesh,1996,11.474
China,1996,1081.31
China Hong Kong SAR,1996,28.44
India,1996,443.20541305470925
Indonesia,1996,58.86775999999999
Japan,1996,1029.857
Malaysia,1996,53.40937387428445
New Zealand,1996,36.80440982480865
Pakistan,1996,67.565
Philippines,1996,36.707
Singapore,1996,23.9094
South Korea,1996,225.845719
Sri Lanka,1996,4.52796
Taiwan,1996,141.96245961399998
Thailand,1996,86.99163
Vietnam,1996,16.944
Other Asia Pacific,1996,43.69501743864646
Total Asia Pacific,1996,3571.6431428064493
Canada,1997,572.3414404863013
Mexico,1997,166.7484449661148
US,1997,3716.377329438841
Total North America,1997,4455.467214891257
Argentina,1997,72.46246999999998
Brazil,1997,307.9807828425842
Chile,1997,33.292
Colombia,1997,49.906342280514785
Ecuador,1997,10.3617494
Peru,1997,17.953400000000002
Trinidad & Tobago,1997,4.988
Venezuela,1997,78.066
Central America,1997,21.096612387157894
Other Caribbean,1997,57.278601590255775
Other South America,1997,64.24755651325749
Total S. & Cent. America,1997,717.63351501377
Austria,1997,57.2738494812
Belgium,1997,78.833
Bulgaria,1997,42.803000000000004
Croatia,1997,10.2484
Cyprus,1997,2.728
Czech Republic,1997,64.598
Denmark,1997,44.31163611111111
Estonia,1997,9.218
Finland,1997,69.176208
France,1997,504.77000000000004
Germany,1997,552.324
Greece,1997,43.506
Hungary,1997,35.397
Iceland,1997,5.5795259999999995
Ireland,1997,19.95659154
Italy,1997,251.473
Latvia,1997,4.506
Lithuania,1997,14.861
Luxembourg,1997,1.26
Netherlands,1997,86.659
North Macedonia,1997,6.7330000000000005
Norway,1997,111.42
Poland,1997,142.79
Portugal,1997,34.207
Romania,1997,57.148
Slovakia,1997,25.347
Slovenia,1997,13.178
Spain,1997,190.39600000000002
Sweden,1997,149.407
Switzerland,1997,62.90208612440192
Turkey,1997,103.2958
Ukraine,1997,178.002
United Kingdom,1997,350.66700000000003
Other Europe,1997,64.47032816127896
Total Europe,1997,3389.4454254179914
Azerbaijan,1997,16.836000000000002
Belarus,1997,26.057000000000002
Kazakhstan,1997,52.0
Russian Federation,1997,834.131
Turkmenistan,1997,9.498
Uzbekistan,1997,46.054
Other CIS,1997,40.763
Total CIS,1997,1025.339
Iran,1997,96.983
Iraq,1997,26.692943
Israel,1997,35.111000000000004
Kuwait,1997,26.724
Oman,1997,7.3180000000000005
Qatar,1997,6.91
Saudi Arabia,1997,119.10447093268016
United Arab Emirates,1997,28.464000000000002
Other Middle East,1997,49.827999999999996
Total Middle East,1997,397.1354139326802
Algeria,1997,21.497
Egypt,1997,56.784
Morocco,1997,13.593
South Africa,1997,210.362
Eastern Africa,1997,33.41451050296856
Middle Africa,1997,11.058999999999997
Western Africa,1997,31.120616666518
Other Northern Africa,1997,21.189315789473685
Other Southern Africa,1997,1.859
Total Africa,1997,400.8784429589602
Australia,1997,188.9795
Bangladesh,1997,11.858
China,1997,1135.55
China Hong Kong SAR,1997,28.943055555555556
India,1997,469.15354767272726
Indonesia,1997,70.69102000000001
Japan,1997,1054.864
Malaysia,1997,59.93525469460346
New Zealand,1997,37.44344755272408
Pakistan,1997,62.481
Philippines,1997,39.797000000000004
Singapore,1997,26.709400000000002
South Korea,1997,246.58747100000002
Sri Lanka,1997,5.14394
Taiwan,1997,150.486408919
Thailand,1997,92.66128
Vietnam,1997,19.132
Other Asia Pacific,1997,42.22131404625252
Total Asia Pacific,1997,3742.637639440864
Canada,1998,561.9913125520447
Mexico,1998,181.0591201448529
US,1998,3855.8083949515126
Total North America,1998,4598.858827648411
Argentina,1998,74.169556
Brazil,1998,321.74863834462184
Chile,1998,35.495
Colombia,1998,50.283142879771205
Ecuador,1998,10.8903525
Peru,1998,18.5825
Trinidad & Tobago,1998,5.1690000000000005
Venezuela,1998,80.904
Central America,1998,23.22481703499421
Other Caribbean,1998,61.4797773452276
Other South America,1998,66.9529509386302
Total S. & Cent. America,1998,748.8997350432447
Austria,1998,57.6750549658
Belgium,1998,83.183
Bulgaria,1998,41.711
