Country,Year,Oil_Electricity,Gas_Electricity,Coal_Electricity
Total CIS,1996,82.96179785618892,443.8107159040003,206.96580776258497
Iran,1996,31.739650608933445,49.09434939106656,0.092
Saudi Arabia,1996,62.64847826642615,49.51864402540941,0.0
United Arab Emirates,1996,0.0020053674351585,26.569994632564843,0.0
Other Middle East,1996,58.100266000000005,53.183,22.373
Total Middle East,1996,152.49040024279475,178.3659880490408,22.465
Egypt,1996,10.5725,31.5135,0.0
South Africa,1996,0.0,0.0,184.7180000512473
Other Africa,1996,26.72256441010529,38.478,12.573204867376916
Total Africa,1996,37.2950644101053,69.9915,197.29120491862415
Australia,1996,2.49,11.9355,148.4309
China,1996,50.351,2.828,824.1841076060606
India,1996,19.848,32.024,312.234
Indonesia,1996,9.171869999999998,21.85554,16.67061
Japan,1996,237.25818506101027,212.91620708761585,178.44433765945473
Malaysia,1996,11.094,32.95437387428444,4.1770000000000005
South Korea,1996,29.838997000000003,34.765665000000006,81.709393
Taiwan,1996,28.309069607,6.228967335,59.90195762
Thailand,1996,25.556094000000005,36.4333442,17.58007204
Vietnam,1996,1.463,1.097,2.376
Other Asia Pacific,1996,69.4225329720652,50.38180522981644,39.87306582589133
Total Asia Pacific,1996,484.8027486400754,443.4204027267167,1685.5814437514068
Canada,1997,12.024731182795698,22.826344086021507,96.92591397849463
Mexico,1997,82.51142890786687,23.12121863535047,18.391734176119147
US,1997,99.5213688172043,515.482440860215,1998.2434086021503
Total North America,1997,194.05752890786687,561.430003581587,2113.5610567567646
Argentina,1997,2.0420000000000003,32.1884542072109,1.896
Brazil,1997,9.969052958432377,1.177,7.310272489999999
Other S. & Cent. America,1997,75.96566733874084,40.77650709480604,12.701402970177668
Total S. & Cent. America,1997,87.97672029717319,74.14196130201694,21.907675460177668
France,1997,7.727,4.9,25.863
Germany,1997,7.4,48.1,284.823
Italy,1997,113.312,60.649,24.769
Netherlands,1997,2.823,50.661,27.362
Poland,1997,1.901,0.215,136.253
Spain,1997,14.103,18.174,63.976
Turkey,1997,7.157299999999999,22.0856,33.86
Ukraine,1997,2.327,31.017,55.193
United Kingdom,1997,10.669,110.963,121.973
Other Europe,1997,59.73985196069018,68.34399977870352,277.41360929178427
Total Europe,1997,227.1591519606902,415.10859977870354,1051.485609291784
Kazakhstan,1997,3.7667936215204074,4.225722591230962,37.20602718724863
Russian Federation,1997,51.79229110882252,356.867557724436,157.0224043800118
Other CIS,1997,20.998,79.427905,3.268
Total CIS,1997,76.55708473034294,440.52118531566697,197.49643156726043
Iran,1997,32.053633463546646,58.89236653645335,0.096
Saudi Arabia,1997,66.19376106639292,52.91070986628724,0.0
United Arab Emirates,1997,0.0026305043227665,28.46136949567724,0.0
Other Middle East,1997,63.3766298,54.439,24.783
Total Middle East,1997,161.62665483426235,194.70344589841784,24.879
Egypt,1997,12.3335,32.6795,0.0
South Africa,1997,0.0,0.0,192.8690000906969
Other Africa,1997,26.170365177815885,43.165,13.176024055458864
Total Africa,1997,38.50386517781589,75.8445,206.04502414615573
Australia,1997,1.998,12.18,157.47385
China,1997,47.115,8.077,867.0265180020202
India,1997,20.889,40.179,325.827
Indonesia,1997,12.006309999999996,29.61548,20.47273
Japan,1997,208.94280681043887,219.67732803411437,188.1350387135969
Malaysia,1997,11.726,41.576254694603456,2.46
