Country,Year,Annual CO₂ emissions,Fossil Share Consumption,Non-CO₂ Share Consumption,Nuclear Share Consumption,Renewable Share Consumption,Fossil Electricity Share,Non-CO₂ Electricity Share,Nuclear Electricity Share,Renewable Electricity Share,Coal Production Share,Gas Production Share,Oil Production Share,Cluster
Netherlands,2009,170234050.0,0.9551486299759536,0.0227747324355109,0.0105485935282964,0.0122261389072145,0.8509786341969532,0.0790582588207664,0.0374293305843139,0.0416289282364525,0.0,1.0,0.0,0
Netherlands,2010,182288820.0,0.9596056328291744,0.0188858824398797,0.0090305459298347,0.009855336510045,0.8518006124130726,0.0687820417881194,0.0335974634059746,0.0351845783821447,0.0,1.0,0.0,0
Netherlands,2011,169161580.0,0.9535454391111444,0.0228367746421153,0.0098300724391848,0.0130067022029305,0.8329065925935991,0.0831957881816319,0.0366550765945503,0.0465407115870815,0.0,1.0,0.0,0
Netherlands,2012,165575020.0,0.9527057240970068,0.0227635819064979,0.0094005614810041,0.0133630204254938,0.8041464613332163,0.0902846935295956,0.0381902337635924,0.0520944597660032,0.0,1.0,0.0,0
Netherlands,2013,164757580.0,0.9554739245883804,0.0231580860218579,0.0071131523555292,0.0160449336663286,0.8205248406805803,0.0906883621185658,0.0286577384981399,0.0620306236204259,0.0,1.0,0.0,0
Netherlands,2014,157342270.0,0.9516665973067624,0.0283083815940029,0.0104650185156682,0.0178433630783346,0.824983125978899,0.1042888330758294,0.0395609264787372,0.0647279065970922,0.0,1.0,0.0,0
Netherlands,2015,163743250.0,0.9477776721157763,0.033239447506747,0.0102709566436754,0.0229684908630715,0.8108221877539478,0.1164025051140093,0.0370013083796042,0.0794011967344051,0.0,1.0,0.0,0
Netherlands,2016,164607870.0,0.9470821466070476,0.0350589764802319,0.00974455993498,0.0253144165452519,0.8104628278640325,0.1201181159086534,0.0343898293557514,0.0857282865529019,0.0,1.0,0.0,0
Netherlands,2017,162077660.0,0.9416555283421564,0.0407181314175255,0.0082580051760438,0.0324601262414816,0.7939379542008572,0.138573827049782,0.0290393757619578,0.1095344512878242,0.0,1.0,0.0,0
Netherlands,2018,158042200.0,0.9339339888203172,0.0456120780015656,0.0086907517405917,0.0369213262609739,0.7810810733543283,0.1560016241691391,0.0307289632734084,0.1252726608957307,0.0,1.0,0.0,0
Netherlands,2019,152422300.0,0.9204589256831232,0.0534586832748051,0.0096735780677293,0.0437851052070757,0.7593362664333726,0.1720702448596051,0.0322025190961097,0.1398677257634953,0.0,1.0,0.0,0
Netherlands,2020,136670080.0,0.8883828372962413,0.073772006610145,0.010403394160764,0.063368612449381,0.6812030406366482,0.2269515931171246,0.0331556213579813,0.1937959717591433,0.0,1.0,0.0,0
