Country,Year,Annual CO₂ emissions,Exports of goods and services (% of GDP),Final consumption expenditure (% of GDP),"Foreign direct investment, net inflows (% of GDP)",GDP per capita (current US$),Imports of goods and services (% of GDP),Population density (people per sq. km of land area),Urban population (% of total population),Adjusted savings: carbon dioxide damage (% of GDP),Adjusted savings: carbon dioxide damage (% of total population),Exports per capita (current US$),Imports per capita (current US$),"Foreign direct investment, net inflows per capita (BoP, current US$)",Log GDP,Cluster
Georgia,2020,10574905.0,36.9003241679889,94.4838223302336,3.47438669079388,4300.85701291207,55.9907600072305,65.1302704783232,59.453,2.542504478924013,109.34948218540713,1587.030179766238,2408.0825283537392,149.42840364669237,8.366569587151373,3
Germany,2020,648356860.0,43.4769796664248,72.2241188343376,4.54937644004137,46749.4762280016,37.6703792603996,238.017318755545,77.453,0.6678997893922591,312.2396532688072,20325.26027380834,17610.70499733859,2126.809657359445,10.752558330974962,2
Ghana,2020,19167768.0,31.5254204867115,85.3009907570383,2.67804119732377,2176.57621804239,35.0500782295317,141.431796706412,57.349,1.2156618743374064,26.45980724863633,686.1748049516257,762.8916671492378,58.28960781032685,7.6855083790065475,3
Greece,2020,55558176.0,32.0640853286839,93.280626482779,1.75278168577464,17617.2915057014,39.7762241360962,82.999216446858,79.715,1.1917648398513847,209.9566858990733,5648.823380991063,7007.493356017213,308.7926590414652,9.776636170631441,1
Grenada,2020,289456.0,,,13.5399655457294,8437.5367823125,,363.714705882353,36.537,1.105389653550862,93.26765860623064,,,1142.43957323336,9.040445694556468,1
Guatemala,2020,17164690.0,16.3445130546925,94.9465564944392,1.29237508091971,4609.89725752869,24.7985149483132,157.319270250093,51.836,1.0603270715188071,48.87998859077977,753.4652590646892,1143.186060510135,59.5771634123018,8.435960848872206,3
Guinea,2020,4499392.0,46.6744988629892,89.7414096663083,1.24384286835333,1073.65933900139,68.3628951141662,53.7406519615823,36.875,1.2271120099408763,13.175002694737955,501.12511597458274,733.9846078049728,13.354635118578331,6.978828035741994,0
Guinea-Bissau,2020,296784.0,23.2177401570215,78.8634626305608,1.38046681493534,754.27069401163,31.5847146887394,71.6866287339972,44.196,0.8977953823223697,6.771807461047322,175.12460981618273,238.2342466843476,10.412456625612998,6.625751314204566,0
Guyana,2020,3360588.0,,,23.6596931392162,6863.07434593017,,4.04979425958852,26.786,3.216384210777746,220.742839636436,,,1623.7823301633464,8.833910775711706,3
Haiti,2020,3238033.0,7.003361317675,104.408783956114,0.17231607778598,1283.14122785939,27.4538405884892,410.261284470247,57.088,0.95114960571102,12.204592729500147,89.86301640304451,352.2715472216996,2.211058636302169,7.157066434831569,0
Honduras,2020,9526111.0,35.8751401030378,96.5842208703269,1.0106822391556,2307.13093003215,52.1257162805914,90.4617302708017,58.359,1.6529765354739812,38.13633291609407,827.6864535095526,1202.6085228103248,23.317762543900304,7.743760009936619,3
Hungary,2020,47107424.0,78.6750786064887,70.8332884365717,106.498788550387,16131.9540355923,76.7475852870237,106.839239535393,71.942,1.156052143041074,186.4938003428655,12691.8275182649,12380.885181929629,17180.335617411078,9.688557306720188,1
Iceland,2020,3340566.0,33.3096450490364,80.029393247445,-4.06130543466877,59023.5663465778,34.665430576638,3.63446394922146,93.898,0.2814896646266386,166.14523895966306,19660.54044532761,20460.773415728763,-2397.1273077688907,10.985692072740102,2
India,2020,2421552000.0,18.6824769296784,72.7105811209233,2.40620322673673,1915.55158799947,19.0756283996041,469.659566660725,34.926,3.542667650347959,67.86162643378364,357.8724835040885,365.4035027294934,46.0920641202498,7.557760895649345,0
Indonesia,2020,608223200.0,17.3311682847479,68.5896428115107,1.81058402027127,3895.61815200225,15.6410071156049,144.796388212316,56.641,2.379127577440128,92.68172576604871,675.1561376546953,609.3139123514679,70.53343975093944,8.267607649692742,3
Iran,2020,756606400.0,19.4246090258049,60.701048361669,0.559783625786403,2746.41948317591,24.3855556612928,53.7998107858243,75.874,11.536385892258355,316.83754979934,533.4812468154527,669.7296517624517,15.374006562226295,7.918053336196352,3
Iraq,2020,161115330.0,27.7502773014436,74.803566832,-1.58049695886156,4250.74290829159,29.9920388670919,98.0286551431836,70.893,3.5866321991693657,152.45851385269478,1179.592944422368,1274.8844651949678,-67.18286239457194,8.354849048593344,3
Israel,2020,59156320.0,27.5147165765408,71.4980998116746,5.07387864117017,44846.7915954816,23.4460844080304,425.836414048059,92.587,0.5947533555081937,266.7277978518931,12339.467601168732,10514.816611770106,2275.471780013239,10.711007328595468,2
Italy,2020,302602430.0,29.4322770258695,78.7004079724071,-0.898589953074252,31922.9191626183,25.8334287440019,200.999100491348,71.039,0.6247619616712974,199.44225598311613,9395.642002686172,8246.784574880325,-286.85614432330294,10.371079499845203,2
Ivory Coast,2020,11015523.0,20.9934684842997,78.2128014399932,1.13111245703154,2350.75139725548,20.9491633347529,84.3138050314465,51.706,0.7340125497841163,17.254810270080664,493.5042537270618,492.4627498050372,26.589641888199782,7.762490299544112,3
Jamaica,2020,6902286.0,,,1.91929088695692,4897.26476180879,,260.428070175439,56.311,2.319518618843865,113.59296796423423,,,93.99275628354872,8.496432116364709,3
Japan,2020,1040483400.0,15.528515498653,75.0224246315636,1.23793178201869,40040.7655055923,15.7972776256456,346.395061728395,91.782,0.8445326609026693,338.1573423701769,6217.73647731522,6325.350890352135,495.6773619573044,10.597653351767686,2
